_key,image_filepath,anomaly_class
0,0.jpg,Offline-Module
1,1.jpg,Offline-Module
2,2.jpg,Offline-Module
3,3.jpg,Offline-Module
4,4.jpg,Offline-Module
5,5.jpg,Offline-Module
6,6.jpg,Offline-Module
7,7.jpg,Offline-Module
8,8.jpg,Offline-Module
9,9.jpg,Offline-Module
10,10.jpg,Offline-Module
11,11.jpg,Offline-Module
12,12.jpg,Offline-Module
13,13.jpg,Offline-Module
14,14.jpg,Offline-Module
15,15.jpg,Offline-Module
16,16.jpg,Offline-Module
17,17.jpg,Offline-Module
18,18.jpg,Offline-Module
19,19.jpg,Offline-Module
20,20.jpg,Offline-Module
21,21.jpg,Offline-Module
22,22.jpg,Offline-Module
23,23.jpg,Offline-Module
24,24.jpg,Offline-Module
25,25.jpg,Offline-Module
26,26.jpg,Offline-Module
27,27.jpg,Offline-Module
28,28.jpg,Offline-Module
29,29.jpg,Offline-Module
30,30.jpg,Offline-Module
31,31.jpg,Offline-Module
32,32.jpg,Offline-Module
33,33.jpg,Offline-Module
34,34.jpg,Offline-Module
35,35.jpg,Offline-Module
36,36.jpg,Offline-Module
37,37.jpg,Offline-Module
38,38.jpg,Offline-Module
39,39.jpg,Offline-Module
40,40.jpg,Offline-Module
41,41.jpg,Offline-Module
42,42.jpg,Offline-Module
43,43.jpg,Offline-Module
44,44.jpg,Offline-Module
45,45.jpg,Offline-Module
46,46.jpg,Offline-Module
47,47.jpg,Offline-Module
48,48.jpg,Offline-Module
49,49.jpg,Offline-Module
50,50.jpg,Offline-Module
51,51.jpg,Offline-Module
52,52.jpg,Offline-Module
53,53.jpg,Offline-Module
54,54.jpg,Offline-Module
55,55.jpg,Offline-Module
56,56.jpg,Offline-Module
57,57.jpg,Offline-Module
58,58.jpg,Offline-Module
59,59.jpg,Offline-Module
60,60.jpg,Offline-Module
61,61.jpg,Offline-Module
62,62.jpg,Offline-Module
63,63.jpg,Offline-Module
64,64.jpg,Offline-Module
65,65.jpg,Offline-Module
66,66.jpg,Offline-Module
67,67.jpg,Offline-Module
68,68.jpg,Offline-Module
69,69.jpg,Offline-Module
70,70.jpg,Offline-Module
71,71.jpg,Offline-Module
72,72.jpg,Offline-Module
73,73.jpg,Offline-Module
74,74.jpg,Offline-Module
75,75.jpg,Offline-Module
76,76.jpg,Offline-Module
77,77.jpg,Offline-Module
78,78.jpg,Offline-Module
79,79.jpg,Offline-Module
80,80.jpg,Offline-Module
81,81.jpg,Offline-Module
82,82.jpg,Offline-Module
83,83.jpg,Offline-Module
84,84.jpg,Offline-Module
85,85.jpg,Offline-Module
86,86.jpg,Offline-Module
87,87.jpg,Offline-Module
88,88.jpg,Offline-Module
89,89.jpg,Offline-Module
90,90.jpg,Offline-Module
91,91.jpg,Offline-Module
92,92.jpg,Offline-Module
93,93.jpg,Offline-Module
94,94.jpg,Offline-Module
95,95.jpg,Offline-Module
96,96.jpg,Offline-Module
97,97.jpg,Offline-Module
98,98.jpg,Offline-Module
99,99.jpg,Offline-Module
100,100.jpg,Offline-Module
101,101.jpg,Offline-Module
102,102.jpg,Offline-Module
103,103.jpg,Offline-Module
104,104.jpg,Offline-Module
105,105.jpg,Offline-Module
106,106.jpg,Offline-Module
107,107.jpg,Offline-Module
108,108.jpg,Offline-Module
109,109.jpg,Offline-Module
110,110.jpg,Offline-Module
111,111.jpg,Offline-Module
112,112.jpg,Offline-Module
113,113.jpg,Offline-Module
114,114.jpg,Offline-Module
115,115.jpg,Offline-Module
116,116.jpg,Offline-Module
117,117.jpg,Offline-Module
118,118.jpg,Offline-Module
119,119.jpg,Offline-Module
120,120.jpg,Offline-Module
121,121.jpg,Offline-Module
122,122.jpg,Offline-Module
123,123.jpg,Offline-Module
124,124.jpg,Offline-Module
125,125.jpg,Offline-Module
126,126.jpg,Offline-Module
127,127.jpg,Offline-Module
128,128.jpg,Offline-Module
129,129.jpg,Offline-Module
130,130.jpg,Offline-Module
131,131.jpg,Offline-Module
132,132.jpg,Offline-Module
133,133.jpg,Offline-Module
134,134.jpg,Offline-Module
135,135.jpg,Offline-Module
136,136.jpg,Offline-Module
137,137.jpg,Offline-Module
138,138.jpg,Offline-Module
139,139.jpg,Offline-Module
140,140.jpg,Offline-Module
141,141.jpg,Offline-Module
142,142.jpg,Offline-Module
143,143.jpg,Offline-Module
144,144.jpg,Offline-Module
145,145.jpg,Offline-Module
146,146.jpg,Offline-Module
147,147.jpg,Offline-Module
148,148.jpg,Offline-Module
149,149.jpg,Offline-Module
150,150.jpg,Offline-Module
151,151.jpg,Offline-Module
152,152.jpg,Offline-Module
153,153.jpg,Offline-Module
154,154.jpg,Offline-Module
155,155.jpg,Offline-Module
156,156.jpg,Offline-Module
157,157.jpg,Offline-Module
158,158.jpg,Offline-Module
159,159.jpg,Offline-Module
160,160.jpg,Offline-Module
161,161.jpg,Offline-Module
162,162.jpg,Offline-Module
163,163.jpg,Offline-Module
164,164.jpg,Offline-Module
165,165.jpg,Offline-Module
166,166.jpg,Offline-Module
167,167.jpg,Offline-Module
168,168.jpg,Offline-Module
169,169.jpg,Offline-Module
170,170.jpg,Offline-Module
171,171.jpg,Offline-Module
172,172.jpg,Offline-Module
173,173.jpg,Offline-Module
174,174.jpg,Offline-Module
175,175.jpg,Offline-Module
176,176.jpg,Offline-Module
177,177.jpg,Offline-Module
178,178.jpg,Offline-Module
179,179.jpg,Offline-Module
180,180.jpg,Offline-Module
181,181.jpg,Offline-Module
182,182.jpg,Offline-Module
183,183.jpg,Offline-Module
184,184.jpg,Offline-Module
185,185.jpg,Offline-Module
186,186.jpg,Offline-Module
187,187.jpg,Offline-Module
188,188.jpg,Offline-Module
189,189.jpg,Offline-Module
190,190.jpg,Offline-Module
191,191.jpg,Offline-Module
192,192.jpg,Offline-Module
193,193.jpg,Offline-Module
194,194.jpg,Offline-Module
195,195.jpg,Offline-Module
196,196.jpg,Offline-Module
197,197.jpg,Offline-Module
198,198.jpg,Offline-Module
199,199.jpg,Offline-Module
200,200.jpg,Offline-Module
201,201.jpg,Offline-Module
202,202.jpg,Offline-Module
203,203.jpg,Offline-Module
204,204.jpg,Offline-Module
205,205.jpg,Offline-Module
206,206.jpg,Offline-Module
207,207.jpg,Offline-Module
208,208.jpg,Offline-Module
209,209.jpg,Offline-Module
210,210.jpg,Offline-Module
211,211.jpg,Offline-Module
212,212.jpg,Offline-Module
213,213.jpg,Offline-Module
214,214.jpg,Offline-Module
215,215.jpg,Offline-Module
216,216.jpg,Offline-Module
217,217.jpg,Offline-Module
218,218.jpg,Offline-Module
219,219.jpg,Offline-Module
220,220.jpg,Offline-Module
221,221.jpg,Offline-Module
222,222.jpg,Offline-Module
223,223.jpg,Offline-Module
224,224.jpg,Offline-Module
225,225.jpg,Offline-Module
226,226.jpg,Offline-Module
227,227.jpg,Offline-Module
228,228.jpg,Offline-Module
229,229.jpg,Offline-Module
230,230.jpg,Offline-Module
231,231.jpg,Offline-Module
232,232.jpg,Offline-Module
233,233.jpg,Offline-Module
234,234.jpg,Offline-Module
235,235.jpg,Offline-Module
236,236.jpg,Offline-Module
237,237.jpg,Offline-Module
238,238.jpg,Offline-Module
239,239.jpg,Offline-Module
240,240.jpg,Offline-Module
241,241.jpg,Offline-Module
242,242.jpg,Offline-Module
243,243.jpg,Offline-Module
244,244.jpg,Offline-Module
245,245.jpg,Offline-Module
246,246.jpg,Offline-Module
247,247.jpg,Offline-Module
248,248.jpg,Offline-Module
249,249.jpg,Offline-Module
250,250.jpg,Offline-Module
251,251.jpg,Offline-Module
252,252.jpg,Offline-Module
253,253.jpg,Offline-Module
254,254.jpg,Offline-Module
255,255.jpg,Offline-Module
256,256.jpg,Offline-Module
257,257.jpg,Offline-Module
258,258.jpg,Offline-Module
259,259.jpg,Offline-Module
260,260.jpg,Offline-Module
261,261.jpg,Offline-Module
262,262.jpg,Offline-Module
263,263.jpg,Offline-Module
264,264.jpg,Offline-Module
265,265.jpg,Offline-Module
266,266.jpg,Offline-Module
267,267.jpg,Offline-Module
268,268.jpg,Offline-Module
269,269.jpg,Offline-Module
270,270.jpg,Offline-Module
271,271.jpg,Offline-Module
272,272.jpg,Offline-Module
273,273.jpg,Offline-Module
274,274.jpg,Offline-Module
275,275.jpg,Offline-Module
276,276.jpg,Offline-Module
277,277.jpg,Offline-Module
278,278.jpg,Offline-Module
279,279.jpg,Offline-Module
280,280.jpg,Offline-Module
281,281.jpg,Offline-Module
282,282.jpg,Offline-Module
283,283.jpg,Offline-Module
284,284.jpg,Offline-Module
285,285.jpg,Offline-Module
286,286.jpg,Offline-Module
287,287.jpg,Offline-Module
288,288.jpg,Offline-Module
289,289.jpg,Offline-Module
290,290.jpg,Offline-Module
291,291.jpg,Offline-Module
292,292.jpg,Offline-Module
293,293.jpg,Offline-Module
294,294.jpg,Offline-Module
295,295.jpg,Offline-Module
296,296.jpg,Offline-Module
297,297.jpg,Offline-Module
298,298.jpg,Offline-Module
299,299.jpg,Offline-Module
300,300.jpg,Offline-Module
301,301.jpg,Offline-Module
302,302.jpg,Offline-Module
303,303.jpg,Offline-Module
304,304.jpg,Offline-Module
305,305.jpg,Offline-Module
306,306.jpg,Offline-Module
307,307.jpg,Offline-Module
308,308.jpg,Offline-Module
309,309.jpg,Offline-Module
310,310.jpg,Offline-Module
311,311.jpg,Offline-Module
312,312.jpg,Offline-Module
313,313.jpg,Offline-Module
314,314.jpg,Offline-Module
315,315.jpg,Offline-Module
316,316.jpg,Offline-Module
317,317.jpg,Offline-Module
318,318.jpg,Offline-Module
319,319.jpg,Offline-Module
320,320.jpg,Offline-Module
321,321.jpg,Offline-Module
322,322.jpg,Offline-Module
323,323.jpg,Offline-Module
324,324.jpg,Offline-Module
325,325.jpg,Offline-Module
326,326.jpg,Offline-Module
327,327.jpg,Offline-Module
328,328.jpg,Offline-Module
329,329.jpg,Offline-Module
330,330.jpg,Offline-Module
331,331.jpg,Offline-Module
332,332.jpg,Offline-Module
333,333.jpg,Offline-Module
334,334.jpg,Offline-Module
335,335.jpg,Offline-Module
336,336.jpg,Offline-Module
337,337.jpg,Offline-Module
338,338.jpg,Offline-Module
339,339.jpg,Offline-Module
340,340.jpg,Offline-Module
341,341.jpg,Offline-Module
342,342.jpg,Offline-Module
343,343.jpg,Offline-Module
344,344.jpg,Offline-Module
345,345.jpg,Offline-Module
346,346.jpg,Offline-Module
347,347.jpg,Offline-Module
348,348.jpg,Offline-Module
349,349.jpg,Offline-Module
350,350.jpg,Offline-Module
351,351.jpg,Offline-Module
352,352.jpg,Offline-Module
353,353.jpg,Offline-Module
354,354.jpg,Offline-Module
355,355.jpg,Offline-Module
356,356.jpg,Offline-Module
357,357.jpg,Offline-Module
358,358.jpg,Offline-Module
359,359.jpg,Offline-Module
360,360.jpg,Offline-Module
361,361.jpg,Offline-Module
362,362.jpg,Offline-Module
363,363.jpg,Offline-Module
364,364.jpg,Offline-Module
365,365.jpg,Offline-Module
366,366.jpg,Offline-Module
367,367.jpg,Offline-Module
368,368.jpg,Offline-Module
369,369.jpg,Offline-Module
370,370.jpg,Offline-Module
371,371.jpg,Offline-Module
